"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @Forever21: Let's be honest...this is the best part about the #Superbowl @foodiecrush Ì†ºÌøàÌ†ºÌøà https://t.co/m6j2mXsfZV",FALSE,0,NA,2017-02-17 20:08:59,FALSE,NA,"832683282303111168",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","princess_bakry",62,TRUE,FALSE,NA,NA
"2","RT @eVeskOG: can someone link me to where i can buy a 28-3 tshirt? @SuperBowl @Patriots @AtlantaFalcons #SuperBowl",FALSE,0,NA,2017-02-17 20:08:56,FALSE,NA,"832683270512877569",NA,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","xqsXPi1wDefg456",1,TRUE,FALSE,NA,NA
"3","RT @VoteTrumpPics: I Am Praying for You Mr. PresidentÌ†ΩÌπè

RTÌ†ΩÌ≤• if you #Pray4DJT Ì†ΩÌπè

 #SuperBowl #PepsiHalftime #Gaga https://t.co/9fj6a1kZ8h",FALSE,0,NA,2017-02-17 20:08:45,FALSE,NA,"832683221624184832",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","relevantspur",3036,TRUE,FALSE,NA,NA
"4","RT @dmgzmn: Wow Edelman #SuperBowl",FALSE,0,NA,2017-02-17 20:08:23,FALSE,NA,"832683130611830786",NA,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","bKQNO6hUDJoomaX",1,TRUE,FALSE,NA,NA
"5","RT @jjwright200248: Oh. My. God we came back 34-28 #SuperBowl #Patriots #Falcons #TomBrady #GOAT #PatsNation",FALSE,0,NA,2017-02-17 20:08:22,FALSE,NA,"832683126539350017",NA,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","KvCM0GpNVoS73H2",5,TRUE,FALSE,NA,NA
"6","RT @Weasley_dad: #SuperBowl 

Dumbledore: Severus... please...

Snape: Avada Kedavra!

Dumbledore: https://t.co/J1DPkWhjdT",FALSE,0,NA,2017-02-17 20:08:18,FALSE,NA,"832683108499492864",NA,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","egorjtpanov",215,TRUE,FALSE,NA,NA
"7","RT @VoteTrumpPics: I Am Praying for You Mr. PresidentÌ†ΩÌπè

RTÌ†ΩÌ≤• if you #Pray4DJT Ì†ΩÌπè

 #SuperBowl #PepsiHalftime #Gaga https://t.co/9fj6a1kZ8h",FALSE,0,NA,2017-02-17 20:08:10,FALSE,NA,"832683075146362881",NA,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","TheRealUgom",3036,TRUE,FALSE,NA,NA
"8","RT @bobwillia: #SuperBowl Watch: Merkle Names T-Mobile Winner in #Digital Bowl Report https://t.co/J5M58qRwkt https://t.co/jFZklOMdnr",FALSE,0,NA,2017-02-17 20:07:51,FALSE,NA,"832682997216321536",NA,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Mobile Web (M5)</a>","ehrlichmedia",4,TRUE,FALSE,NA,NA
"9","RT @Jeremiah_Vann1: Let's go pats
#SuperBowl https://t.co/ERMGBUm1cS",FALSE,0,NA,2017-02-17 20:07:47,FALSE,NA,"832682978132193281",NA,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","J5UmUqznRswwQSr",1,TRUE,FALSE,NA,NA
"10","RT @KvammeBernt: #superbowl https://t.co/EjHMIcw8dK",FALSE,0,NA,2017-02-17 20:07:24,FALSE,NA,"832682884473331712",NA,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","Pg3tPpCMujEeJPd",1,TRUE,FALSE,NA,NA
"11","RT @RE2PECT2JETER: When you got 5 cigarettes riding on the Falcons #SuperBowl https://t.co/9znNSGJoFZ",FALSE,0,NA,2017-02-17 20:07:22,FALSE,NA,"832682874625093633",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","joeyisondat",942,TRUE,FALSE,NA,NA
"12","Dan McGowan dan@mcgowan.xyz on the go. Get yours.
#shakeshack #carryout #burger #chickensandwich #superbowl‚Ä¶ https://t.co/jqsefvtVY0",FALSE,0,NA,2017-02-17 20:07:04,TRUE,NA,"832682798259400705",NA,"<a href=\"http://sproutsocial.com\" rel=\"nofollow\">Sprout Social</a>","dannymcgowan",0,FALSE,FALSE,NA,NA
"13","RT @Distution: If the Patriots come back and win I'll give every person who RTs this $10! #SuperBowl",FALSE,0,NA,2017-02-17 20:06:38,FALSE,NA,"832682690201710592",NA,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","nui5SdzhKmZg7V7",999,TRUE,FALSE,NA,NA
"14","RT @colmtobin: Things livening up at the #SuperBowl https://t.co/pDtMzdOkFU",FALSE,0,NA,2017-02-17 20:06:23,FALSE,NA,"832682628113326081",NA,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","maisie2shooz",14,TRUE,FALSE,NA,NA
"15","RT @SuperBroMovies: The real villain of The #PowerRangersMovie 
#SuperBowl #PepsiHalftime https://t.co/K1Q6pLCNpX",FALSE,0,NA,2017-02-17 20:06:14,FALSE,NA,"832682590381318144",NA,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","Ed2Rmqhr77jqQjS",157,TRUE,FALSE,NA,NA
"16","RT @NinSwitchNews: Sweet! #NintendoSwitch was identified in the top 100 brands being talked about at the #SuperBowl! ‚Üíhttps://t.co/kcFHWV1a‚Ä¶",FALSE,0,NA,2017-02-17 20:05:51,FALSE,NA,"832682494046588928",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","KuuriNidoran",15,TRUE,FALSE,NA,NA
"17","RT @WeAreTeachers: We can dream... #superbowl #teachers #teacherlife https://t.co/ZazKJGFn5M",FALSE,0,NA,2017-02-17 20:05:45,FALSE,NA,"832682468977172481",NA,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","CbzLIzOmCmKBu5X",306,TRUE,FALSE,NA,NA
"18","RT @ChicasGeeksMDQ: #BAYWATCHGUARDIANESDELABAH√çA Spot Del #SuperBowl #Baywatch #DwayneJohnson #PriyankaChopra #ZacEfron
https://t.co/ShGAbG‚Ä¶",FALSE,0,NA,2017-02-17 20:05:21,FALSE,NA,"832682366816624641",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","shitalmanga",2,TRUE,FALSE,NA,NA
"19","RT @MSA305: HA!! #SuperBowl #SuperBowlSunday #SB51 #Atlanta #ATLvsNE",FALSE,0,NA,2017-02-17 20:05:14,FALSE,NA,"832682339037700098",NA,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","gWcffhd5gMHVcI8",1,TRUE,FALSE,NA,NA
"20","RT @ConanOBrien: I was never worried. Winner of the #SuperBowl #CluelessGamer has gone on to win the big game THREE years in a row. https:/‚Ä¶",FALSE,0,NA,2017-02-17 20:05:14,FALSE,NA,"832682336399540224",NA,"<a href=\"http://www.example.com\" rel=\"nofollow\">TwitTest948658</a>","twittFliy",984,TRUE,FALSE,NA,NA
"21","RT @bycycle: Migos halftime show would've been iconic. #SuperBowl https://t.co/zlchwcHimH",FALSE,0,NA,2017-02-17 20:05:14,FALSE,NA,"832682335858483200",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","DvlynScott",21788,TRUE,FALSE,NA,NA
"22","RT @Bethenny: Gettin‚Äô #superbowl ready. Have u tried this amaze all natural deli meat? https://t.co/hnO1id6bvB #skinnygirlhasgoodtaste #mea‚Ä¶",FALSE,0,NA,2017-02-17 20:05:11,FALSE,NA,"832682327041978368",NA,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","E3rfuBykF2RTZcx",6,TRUE,FALSE,NA,NA
"23","RT @MarkBeaulieu19: Ì†ΩÌ∞ê Tom. Brady. Greatest of all time. #SuperBowl #Champs",FALSE,0,NA,2017-02-17 20:04:54,FALSE,NA,"832682255227105280",NA,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","petrryabovxhn",2,TRUE,FALSE,NA,NA
"24","RT @ConanOBrien: I was never worried. Winner of the #SuperBowl #CluelessGamer has gone on to win the big game THREE years in a row. https:/‚Ä¶",FALSE,0,NA,2017-02-17 20:04:46,FALSE,NA,"832682218442993665",NA,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","TomsonSonya",984,TRUE,FALSE,NA,NA
"25","RT @john: Enjoy this #Superbowl video https://t.co/9JSC7gNPiN by @anwar.",FALSE,0,NA,2017-02-17 20:04:34,FALSE,NA,"832682171210948608",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","lynnlikestweets",592,TRUE,FALSE,NA,NA
"26","RT @joeheideman29: Ì†ΩÌ±èÌ†ºÌøªÌ†ΩÌ∏Å.@Patriots #SB51 #SuperBowl  Victory #SuperBowlReaction a lone #HappyPatsFan #TomBrady the Ì†ΩÌ∞êÌ†ºÌøÜÌ†ºÌøÜÌ†ºÌøÜÌ†ºÌøÜÌ†ºÌøÜ #PatriotsNation #Gr‚Ä¶",FALSE,0,NA,2017-02-17 20:04:27,FALSE,NA,"832682139363610624",NA,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","aZY1iNzFvmbl2oc",1,TRUE,FALSE,NA,NA
"27","RT @sue_cut1: Waiting to see if the Simpsons are right again...#Superbowl https://t.co/JckwSOUp0j",FALSE,0,NA,2017-02-17 20:04:19,FALSE,NA,"832682106866200581",NA,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","Carolineui3Mat",1,TRUE,FALSE,NA,NA
"28","RT @LeoncoKaizer: Face you make when you hear the Falcons lost...after that initial blowout #SuperBowl @espn #Patriots https://t.co/WSUea3k‚Ä¶",FALSE,0,NA,2017-02-17 20:04:17,FALSE,NA,"832682098439786498",NA,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","towHcUwytiR6qu2",1,TRUE,FALSE,NA,NA
"29","@1FatBoii @lilyachty @BET @365Black Exactly...how does @Target put this guy in a #SUPERBOWL commercial?@carlyraejepsen thoughts? Answers plz",FALSE,0,"1FatBoii",2017-02-17 20:04:16,FALSE,"832665089895456768","832682095164133377","2662230976","<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","4million4peace",0,FALSE,FALSE,NA,NA
